群組ID,群組名稱,階段名稱,群組圖標,階數,解鎖轉生/等級,超神ID,range,施放距離（米）,施放距離每級增加（米）,作用距離（米；用途見說明）,作用距離每級增加（米）,每段或每跳間隔（秒）,間隔每級增減（秒）,矩形長度（米）,矩形長度每級增加（米）,矩形寬度（米）,矩形寬度每級增加（米）,扇形角度（度）,角度每級增減（度）,傷害類型,傷害屬性,冷卻時間,施法消耗,施放特效,攻擊特效,飛行子彈,受擊特效,地板特效,持續場域特效,效果參數(JSON),升級金幣基數,升級金幣倍率,效果說明模板,作用方式與距離用途（唯讀說明）
counter,,戰神體,,10,,warGodBody,,,,,,,,,,,,,,,,,300,,,,,,,"{""sec"":1,""secPer"":0.1}",10000000,1.5,你在 {sec} 秒內損失的生命百分比，會在接下來 {sec} 秒內的反擊中一併附加到敵人身上,你在 {sec} 秒內損失的生命百分比，會在接下來 {sec} 秒內的反擊中一併附加到敵人身上
bloodrage,嗜血狂怒,嗜血狂怒,💢,1,0|400,,,,,,,,,,,,,,,,,60,25,,,,,aura-bloodrage,,"{""pct"":20,""pctPer"":2,""sec"":8}",100000,1.5,攻速額外 +{pct}%（乘算，不受攻速上限限制），持續 {sec} 秒,攻速額外 +{pct}%（乘算，不受攻速上限限制），持續 {sec} 秒
bloodrage,嗜血狂怒,狂暴,💢,2,0|450,,,,,,,,,,,,,,,,,60,40,,,,,,,"{""pct"":20,""pctPer"":2}",200000,1.5,狂怒期間爆擊傷害額外 +{pct}%（乘算）,狂怒期間爆擊傷害額外 +{pct}%（乘算）
bloodrage,嗜血狂怒,狂怒,💢,3,0|500,,,,,,,,,,,,,,,,,60,60,,,,,,,"{""pct"":20,""pctPer"":2}",400000,1.5,狂怒期間總傷害額外 +{pct}%（乘算）,狂怒期間總傷害額外 +{pct}%（乘算）
bloodrage,嗜血狂怒,狂化連殺,💢,4,0|550,,,,,,,,,,,,,,,,,60,80,,,,,,,"{""add"":0.5,""addPer"":0.1,""kill"":0.1,""killMax"":5}",800000,1.5,狂怒期間基礎連擊數 +{add}，且每擊殺 1 個敵人再 +{kill}（累計上限 +{killMax}；不足 1 次的部分以機率觸發）,狂怒期間基礎連擊數 +{add}，且每擊殺 1 個敵人再 +{kill}（累計上限 +{killMax}；不足 1 次的部分以機率觸發）
bloodrage,嗜血狂怒,嗜血反震,💢,5,0|600,,,,,,,,,,,,,,,,,60,100,,,,,,,"{""pct"":20,""pctPer"":2}",1500000,1.5,狂怒期間反震傷害提高 {pct}%（乘算，可與其它反震加成疊加）,狂怒期間反震傷害提高 {pct}%（乘算，可與其它反震加成疊加）
bloodrage,嗜血狂怒,血飲術,💢,6,0|650,,,,,80,,,,,,,,,,,,60,140,,,,,,,"{""pct"":30,""pctPer"":3,""self"":1}",3000000,1.5,狂怒期間傷害額外提高 {pct}%（乘算），但 {m} 米內的敵人每次受傷都會使你損失最大生命 {self}%（直接扣血，無法被護盾吸收）,狂怒期間傷害額外提高 {pct}%（乘算），但 {m} 米內的敵人每次受傷都會使你損失最大生命 {self}%（直接扣血，無法被護盾吸收）
bloodrage,嗜血狂怒,狂血盛宴,💢,7,0|700,,,,,,,,,,,,,,,,,60,240,,,,,,,"{""sec"":0.5,""pct"":1,""pctPer"":0.1,""count"":1}",5000000,1.5,狂怒期間每擊殺 1 個敵人，持續時間延長 {sec} 秒；且生命值每減少 1%，傷害額外 +{pct}%（乘算，無限疊加），每 1 連擊數使普攻可同時攻擊 1 個敵人（無限疊加）,狂怒期間每擊殺 1 個敵人，持續時間延長 {sec} 秒；且生命值每減少 1%，傷害額外 +{pct}%（乘算，無限疊加），每 1 連擊數使普攻可同時攻擊 1 個敵人（無限疊加）
bloodrage,,殺神降臨,,8,,slayerAdvent,,,,8,,,,,,,,,,,,,300,,,,,,,"{""pct"":100,""pctPer"":10}",10000000,1.5,狂怒期間普攻傷害 +{pct}%，且同時對目標周圍 {m} 米內的所有敵人造成傷害,狂怒期間普攻傷害 +{pct}%，且同時對目標周圍 {m} 米內的所有敵人造成傷害
bloodrage,,戰神屠錄,,9,,warGodRoll,,,,,,,,,,,,,,,,,300,,,,,,,"{""pct"":4,""maxStacks"":100,""maxStacksPer"":10}",10000000,1.5,狂怒期間你無法獲得護盾，但每殺死 1 個敵人使你造成的所有傷害 +{pct}%，最多 {maxStacks} 層，持續到你死亡為止,狂怒期間你無法獲得護盾，但每殺死 1 個敵人使你造成的所有傷害 +{pct}%，最多 {maxStacks} 層，持續到你死亡為止
bloodrage,,阿修羅霸王拳,,10,,asuraFist,,,,,,10,,,,,,,,,,,300,,,,,aura-bloodrage,,"{""pct"":500,""pctPer"":50,""sec"":1,""secPer"":0.1}",10000000,1.5,每 {gap} 秒，你造成的所有傷害 +{pct}%，持續 {sec} 秒,每 {gap} 秒，你造成的所有傷害 +{pct}%，持續 {sec} 秒
fireball,火球術,火球術,🔥,1,0|1,,,30,,6,,,,,,,,,,magic,fire,15,40,cast-magic,hit-fireball-rupture,proj-fireball-ember,,,,"{""pct"":150,""pctPer"":15}",100000,1.5,射出一顆火球（射程 {castM} 米），命中時爆炸，對目標及 {m} 米內的敵人造成 {pct}% 火焰傷害,射出一顆火球（射程 {castM} 米），命中時爆炸，對目標及 {m} 米內的敵人造成 {pct}% 火焰傷害
fireball,火球術,燃燒,🔥,2,0|1,,,,,,,,,,,,,,,magic,fire,15,60,,,,st-tick-fire,,,"{""dotPct"":20,""dotPctPer"":2,""dotSec"":5,""dotGap"":0.5}",200000,1.5,被火球擊中的敵人陷入燃燒：每 {dotGap} 秒造成技能傷害 {dotPct}% 的火焰傷害，持續 {dotSec} 秒,被火球擊中的敵人陷入燃燒：每 {dotGap} 秒造成技能傷害 {dotPct}% 的火焰傷害，持續 {dotSec} 秒
fireball,火球術,火球爆裂,🔥,3,0|50,,,,,20,,,,,,,,,,magic,fire,15,80,,hit-fireball-rupture,proj-fireball-ember,hit-fireball-rupture,,,"{""pct"":30,""pctPer"":3,""count"":3}",400000,1.5,火球爆炸後分裂出 {count} 個小火球，射向目標 {m} 米內的敵人，每個造成原始火球 {pct}% 的傷害,火球爆炸後分裂出 {count} 個小火球，射向目標 {m} 米內的敵人，每個造成原始火球 {pct}% 的傷害
fireball,火球術,強化燃燒,🔥,4,0|100,,,,,,,0.4,-1.4999999999999999E-2,,,,,,,magic,fire,15,100,,,,,,,{},800000,1.5,燃燒的作用間隔縮短至 {gap} 秒（跳得更快＝總傷更高）,燃燒的作用間隔縮短至 {gap} 秒（跳得更快＝總傷更高）
fireball,火球術,爆燃,🔥,5,0|150,,,,,12,,,,,,,,,,magic,fire,15,140,,burst-fire,,hit-fire,,,"{""pct"":50,""pctPer"":5,""count"":2}",1500000,1.5,燃燒結束或敵人死亡時爆炸，對我方 {m} 米內的 {count} 個敵人造成該敵人整段燃燒累積傷害 {pct}% 的傷害,燃燒結束或敵人死亡時爆炸，對我方 {m} 米內的 {count} 個敵人造成該敵人整段燃燒累積傷害 {pct}% 的傷害
fireball,火球術,火焰增幅,🔥,6,0|200,,,,,20,,,,,,,,,,magic,fire,15,200,,,,,,,"{""pct"":0.25,""pctPer"":0.025,""sec"":4}",3000000,1.5,我方 {m} 米內每有 1 次燃燒作用，你的火焰傷害 +{pct}%，持續 {sec} 秒（無限疊加，每次疊加時重置時間）,我方 {m} 米內每有 1 次燃燒作用，你的火焰傷害 +{pct}%，持續 {sec} 秒（無限疊加，每次疊加時重置時間）
fireball,火球術,殞石術,🔥,7,0|250,,,20,,15,,,,,,,,,,magic,fire,15,320,,burst-meteor-inferno,proj-meteor-inferno,burst-meteor-inferno,mark-red,,"{""pct"":250,""pctPer"":25,""count"":3}",5000000,1.5,改為召喚 {count} 顆巨大火殞石從天而降（射程 {castM} 米），每顆對目標 {m} 米內的敵人造成 {pct}% 火焰傷害，且殞石造成的燃燒傷害為 2 倍（第 2~6 階效果仍然生效）,改為召喚 {count} 顆巨大火殞石從天而降（射程 {castM} 米），每顆對目標 {m} 米內的敵人造成 {pct}% 火焰傷害，且殞石造成的燃燒傷害為 2 倍（第 2~6 階效果仍然生效）
fireball,,火殞天落,,8,,meteorFall,,,,,,,,,,,,,,,,,300,,,,,,,"{""count"":8,""size"":30,""pct"":50,""pctPer"":5}",10000000,1.5,殞石的體積 +{size}%、造成的傷害 +{pct}%，且每次施放額外連續落下 {count} 顆巨大殞石,殞石的體積 +{size}%、造成的傷害 +{pct}%，且每次施放額外連續落下 {count} 顆巨大殞石
fireball,,地爆天星,,9,,starfallCataclysm,,,,,,60,-3,,,,,,,,,,300,,burst-fire-shockwave,proj-starfall,hit-fire,ground-starfall-shadow,,"{""normal"":90,""elite"":40,""boss"":20}",10000000,1.5,每 {gap} 秒，天空落下一顆超巨型殞石：普通敵人 -{normal}% 生命、菁英 -{elite}% 生命、BOSS -{boss}% 生命,每 {gap} 秒，天空落下一顆超巨型殞石：普通敵人 -{normal}% 生命、菁英 -{elite}% 生命、BOSS -{boss}% 生命
fireball,,火鳳遼原,,10,,phoenixPrairie,,,,,,,,,,,,,,,,,300,,,proj-fireball,hit-fire-explosion,,,"{""count"":1,""balls"":3,""ballsPer"":0.3,""pct"":30,""pctPer"":3}",10000000,1.5,殞石數量 +{count} 顆，且每顆殞石落下時伴隨 {balls} 顆火球一同落下；火球與殞石造成的傷害 +{pct}%,殞石數量 +{count} 顆，且每顆殞石落下時伴隨 {balls} 顆火球一同落下；火球與殞石造成的傷害 +{pct}%
firepillar,火龍捲,火龍捲,🌋,1,0|50,,,30,,3,,,,,,,,,,magic,fire,15,40,,,,hit-fire,,fire-tornado-inferno,"{""pct"":60,""pctPer"":6,""hits"":5,""sec"":2.5}",100000,1.5,在敵人腳下召喚一道火柱（射程 {castM} 米），對目標 {m} 米內的敵人連續造成 {hits} 段傷害，每段 {pct}% 火焰傷害（全程約 {sec} 秒）,在敵人腳下召喚一道火柱（射程 {castM} 米），對目標 {m} 米內的敵人連續造成 {hits} 段傷害，每段 {pct}% 火焰傷害（全程約 {sec} 秒）
firepillar,火龍捲,龍捲噴發,🌋,2,0|100,,,,,,,,,,,,,,,magic,fire,15,60,,,,,,,"{""pct"":10,""pctPer"":2}",200000,1.5,火柱的傷害範圍擴大 {pct}%,火柱的傷害範圍擴大 {pct}%
firepillar,火龍捲,雙重龍捲,🌋,3,0|150,,,,,20,,,,,,,,,,magic,fire,15,80,,,,,,,"{""count"":2,""pct"":20,""pctPer"":2}",400000,1.5,可同時對 {m} 米內的 {count} 個目標施放火柱，且火焰傷害額外 +{pct}%,可同時對 {m} 米內的 {count} 個目標施放火柱，且火焰傷害額外 +{pct}%
firepillar,火龍捲,燃燒,🌋,4,0|200,,,,,,,,,,,,,,,magic,fire,15,100,,,,,,,"{""chance"":20,""chancePer"":2,""dotPct"":20,""dotSec"":4,""dotGap"":0.5}",800000,1.5,火柱每次作用時有 {chance}% 機率使敵人燃燒：每 {dotGap} 秒造成技能傷害 {dotPct}% 的火焰傷害，持續 {dotSec} 秒,火柱每次作用時有 {chance}% 機率使敵人燃燒：每 {dotGap} 秒造成技能傷害 {dotPct}% 的火焰傷害，持續 {dotSec} 秒
firepillar,火龍捲,烈焰衝擊,🌋,5,0|250,,,,,6,,,,,,,,,,magic,fire,15,140,,burst-fire-shockwave,,hit-fire,,,"{""pct"":100,""pctPer"":10}",1500000,1.5,火龍捲或火牆消失時，對周圍 {m} 米內的敵人造成 {pct}% 火焰傷害,火龍捲或火牆消失時，對周圍 {m} 米內的敵人造成 {pct}% 火焰傷害
firepillar,火龍捲,重生,🌋,6,0|300,,,,,20,,,,,,,,,,magic,fire,15,200,,,,,,,"{""chance"":25,""chancePer"":2.5}",3000000,1.5,火柱消失後有 {chance}% 機率在我方 {m} 米內的敵人身上重生,火柱消失後有 {chance}% 機率在我方 {m} 米內的敵人身上重生
firepillar,火龍捲,無限火牆,🌋,7,0|350,,,,,,,,,18,,6,,,,magic,fire,15,320,,,,hit-fire,ground-firewall,,"{""count"":3,""hits"":8,""pct"":100,""pctPer"":10,""respawn"":1}",5000000,1.5,改為施放 {count} 道火牆（橫向 {len}×{wid} 米），每道造成 {hits} 段 {pct}% 火焰傷害；每道火牆消失後再召喚 1 道（僅能再觸發一次；第 2~6 階效果仍然生效）,改為施放 {count} 道火牆（橫向 {len}×{wid} 米），每道造成 {hits} 段 {pct}% 火焰傷害；每道火牆消失後再召喚 1 道（僅能再觸發一次；第 2~6 階效果仍然生效）
firepillar,,烈焰暴風,,8,,infernoTempest,,,,,,,,,,,,,,,,,300,,,,,,,"{""mult"":1.2,""multPer"":0.8}",10000000,1.5,每次施放的火龍捲（火牆）數量變為 {mult} 倍（小數部分依機率補 1 道）,每次施放的火龍捲（火牆）數量變為 {mult} 倍（小數部分依機率補 1 道）
firepillar,,永劫火獄,,9,,eternalInferno,,,,20,,0.5,,,,,,,,,,,300,,,,,ground-mire-lava,,"{""pct"":200,""pctPer"":20,""sec"":6}",10000000,1.5,火龍捲會在附近 {m} 米內隨機游走，並在移動軌跡上留下火池：每 {gap} 秒造成 {pct}% 火焰傷害，持續 {sec} 秒,火龍捲會在附近 {m} 米內隨機游走，並在移動軌跡上留下火池：每 {gap} 秒造成 {pct}% 火焰傷害，持續 {sec} 秒
firepillar,,火龍之吞噬,,10,,dragonDevour,,,,30,,,,,,,,,,,,,300,,,,,,,"{""hits"":3,""hitsPer"":0.3}",10000000,1.5,所有火龍捲改為聚攏在你身邊，並持續將 {m} 米內的敵人拉向你，且火龍捲的傷害段數 +{hits} 段,所有火龍捲改為聚攏在你身邊，並持續將 {m} 米內的敵人拉向你，且火龍捲的傷害段數 +{hits} 段
firehunt,火狩,火狩,☄️,1,0|100,,3*3,8,,8,,,,,,,,,,magic,fire,15,40,,burst-fire,orb-firehunt,hit-fire-explosion,ground-orbit-ring-fire,,"{""pct"":100,""pctPer"":10,""count"":2,""sec"":4,""rps"":0.455}",100000,1.5,召喚 {count} 團火狩環繞自身（環繞半徑 {m} 米、每秒 {rps} 圈），碰到敵人即命中一次，每次造成 {pct}% 火焰傷害，持續 {sec} 秒,召喚 {count} 團火狩環繞自身（環繞半徑 {m} 米、每秒 {rps} 圈），碰到敵人即命中一次，每次造成 {pct}% 火焰傷害，持續 {sec} 秒
firehunt,火狩,強化火狩,☄️,2,0|150,,3*3,,,,,,,,,,,,,magic,fire,15,60,,,,,,,"{""pct"":15,""pctPer"":1.5}",200000,1.5,火狩的體積與環繞範圍同步擴大 {pct}%,火狩的體積與環繞範圍同步擴大 {pct}%
firehunt,火狩,伴生火狩,☄️,3,0|200,,3*3,,,1,,,,,,,,,,magic,fire,15,80,,,orb-firehunt-companion,,,,"{""chance"":20,""chancePer"":2}",400000,1.5,火狩命中時有 {chance}% 機率在母體外緣後方留 {m} 米間隙伴生一團火狩（每團只能伴生一次，伴生出的不再伴生）,火狩命中時有 {chance}% 機率在母體外緣後方留 {m} 米間隙伴生一團火狩（每團只能伴生一次，伴生出的不再伴生）
firehunt,火狩,三重火狩,☄️,4,0|250,,3*3,,,,,,,,,,,,,magic,fire,15,100,,,,,,,"{""count"":3,""pct"":120,""pctPer"":12,""sec"":4}",800000,1.5,改為召喚 {count} 團火狩，每團造成 {pct}% 火焰傷害，持續 {sec} 秒,改為召喚 {count} 團火狩，每團造成 {pct}% 火焰傷害，持續 {sec} 秒
firehunt,火狩,極速火狩,☄️,5,0|300,,3*3,,,,,,,,,,,,,magic,fire,15,140,,,,,,,"{""pct"":25,""pctPer"":2.5}",1500000,1.5,火狩的旋轉速度 +{pct}%,火狩的旋轉速度 +{pct}%
firehunt,火狩,再生,☄️,6,0|350,,3*3,,,,,,,,,,,,,magic,fire,15,200,,,,,,,"{""sec"":0.4,""secPer"":0.04}",3000000,1.5,火狩每擊殺 1 個敵人，全部火狩的持續時間延長 {sec} 秒,火狩每擊殺 1 個敵人，全部火狩的持續時間延長 {sec} 秒
firehunt,火狩,狩神之舞,☄️,7,0|400,,3*3,,,6,,,,,,,,,,magic,fire,15,320,,,,,,,"{""rings"":2,""pct"":150,""pctPer"":15,""sec"":6}",5000000,1.5,改為一次施放 {rings} 道火狩（外圈距內圈 {m} 米、兩道旋轉方向相反），每團造成 {pct}% 火焰傷害、出現時自帶伴生，持續 {sec} 秒,改為一次施放 {rings} 道火狩（外圈距內圈 {m} 米、兩道旋轉方向相反），每團造成 {pct}% 火焰傷害、出現時自帶伴生，持續 {sec} 秒
firehunt,,烈陽星環,,8,,solarRing,,,,,,,,,,,,,,,,,300,,,,,,,"{""count"":1,""grow"":60,""growSec"":4,""spin"":30,""pct"":50,""pctPer"":10}",10000000,1.5,火狩數量 +{count} 團，體積在 {growSec} 秒內逐漸增大最多 {grow}%，環繞速度 +{spin}%，且造成傷害 +{pct}%,火狩數量 +{count} 團，體積在 {growSec} 秒內逐漸增大最多 {grow}%，環繞速度 +{spin}%，且造成傷害 +{pct}%
firehunt,,無限星環,,9,,infiniteRing,,,,40,,,,,,,,,,,,,300,,,,,,,"{""count"":10,""countPer"":1}",10000000,1.5,火狩改為從自身中心呈螺旋狀向外擴散（在 {m} 米處達到最外圈），並於持續時間內不斷放出火狩，最多額外 +{count} 團,火狩改為從自身中心呈螺旋狀向外擴散（在 {m} 米處達到最外圈），並於持續時間內不斷放出火狩，最多額外 +{count} 團
firehunt,,火神降臨,,10,,fireGodDescend,,,,6,,0.5,,,,,,,,,,,300,,,proj-firehunt-ring,hit-fire,ground-domain-fire,,"{""pct"":300,""pctPer"":30,""orbs"":3,""orbsPer"":0.3,""mps"":24,""flyM"":40}",10000000,1.5,你的身體被火焰包裹：每 {gap} 秒對周圍 {m} 米內的敵人造成 {pct}% 火焰傷害；普攻同時朝目標射出 {orbs} 顆火狩星環，以 {mps} 米／秒貫穿飛行 {flyM} 米,你的身體被火焰包裹：每 {gap} 秒對周圍 {m} 米內的敵人造成 {pct}% 火焰傷害；普攻同時朝目標射出 {orbs} 顆火狩星環，以 {mps} 米／秒貫穿飛行 {flyM} 米
rockarmor,岩甲術,岩甲術,🪨,1,0|150,,,30,,,,,,,,,,,,magic,earth,15,40,,,,,aura-rockarmor-stone,,"{""pct"":30,""pctPer"":3,""sec"":10}",100000,1.5,施放岩甲強化自身，獲得最大生命值 {pct}% 的岩甲護盾，持續 {sec} 秒,施放岩甲強化自身，獲得最大生命值 {pct}% 的岩甲護盾，持續 {sec} 秒
rockarmor,岩甲術,強化岩甲,🪨,2,0|200,,,,,,,,,,,,,,,magic,earth,15,40,,,,,,,"{""pct"":20,""pctPer"":2}",200000,1.5,進一步強化岩甲，額外獲得最大生命值 {pct}% 的岩甲護盾（與第 1 階累加）,進一步強化岩甲，額外獲得最大生命值 {pct}% 的岩甲護盾（與第 1 階累加）
rockarmor,岩甲術,岩甲尖刺,🪨,3,0|250,,,,,,,,,,,,,,,magic,earth,15,40,,,,hit-earth,,,"{""pct"":5,""pctPer"":0.5}",400000,1.5,岩甲護盾存在期間，攻擊你的敵人會遭受你最大生命值 {pct}% 的地系傷害（獨立於反震，兩者各自結算）,岩甲護盾存在期間，攻擊你的敵人會遭受你最大生命值 {pct}% 的地系傷害（獨立於反震，兩者各自結算）
rockarmor,岩甲術,護盾增幅,🪨,4,0|300,,,,,,,,,,,,,,,magic,earth,15,40,,,,,,,"{""pct"":15,""pctPer"":1.5}",800000,1.5,主動型被動（裝配到技能列即恆時生效）：你獲得的所有護盾效率額外 +{pct}%（乘算）,主動型被動（裝配到技能列即恆時生效）：你獲得的所有護盾效率額外 +{pct}%（乘算）
rockarmor,岩甲術,岩之再生,🪨,5,0|350,,,,,,,,,,,,,,,magic,earth,15,40,,,,,,,"{""pct"":1,""pctPer"":0.1}",1500000,1.5,岩甲護盾存在期間，你每減少 1% 生命值即獲得最大生命 {pct}% 的護盾,岩甲護盾存在期間，你每減少 1% 生命值即獲得最大生命 {pct}% 的護盾
rockarmor,岩甲術,岩甲增幅,🪨,6,0|400,,,,,,,,,,,,,,,magic,earth,15,40,,,,,,,"{""pct"":0.5,""pctPer"":0.05,""max"":30,""sec"":3}",3000000,1.5,岩甲護盾存在期間，你每減少 1% 護盾即獲得 {pct}% 傷害增幅（乘算），最多疊 {max} 層，持續 {sec} 秒,岩甲護盾存在期間，你每減少 1% 護盾即獲得 {pct}% 傷害增幅（乘算），最多疊 {max} 層，持續 {sec} 秒
rockarmor,岩甲術,天地逆返,🪨,7,0|450,,,,,,,,,,,,,,,magic,earth,15,40,,,,,aura-earth-reversal,,"{""pct"":30,""pctPer"":3}",5000000,1.5,岩甲護盾存在期間，護盾剩餘量越低則傷害減免越高，護盾歸零時最高額外 +{pct}% 傷害減免（乘算）,岩甲護盾存在期間，護盾剩餘量越低則傷害減免越高，護盾歸零時最高額外 +{pct}% 傷害減免（乘算）
rockarmor,,超重岩之術,,8,,superRockArt,,,,24,,,,,,,,,,,,,300,,burst-rock-petrify,,hit-earth,ground-domain-earth,,"{""sec"":4,""pct"":400,""pctPer"":40}",10000000,1.5,施放時將巨岩之力壓縮到極致，使 {m} 米內的敵人石化 {sec} 秒：無法行動，且受到的土系傷害額外 +{pct}%,施放時將巨岩之力壓縮到極致，使 {m} 米內的敵人石化 {sec} 秒：無法行動，且受到的土系傷害額外 +{pct}%
rockarmor,,金剛不壞,,9,,adamantBody,,,,,,,,,,,,,,,,,300,,,,,,,"{""red"":90,""redPer"":0.9,""hp"":50,""hpPer"":5,""spike"":100}",10000000,1.5,岩甲護盾存在期間額外獲得 +{red}% 傷害減免（乘算），生命上限與岩甲護盾 +{hp}%，且【岩甲尖刺】的效果額外提高 {spike}%,岩甲護盾存在期間額外獲得 +{red}% 傷害減免（乘算），生命上限與岩甲護盾 +{hp}%，且【岩甲尖刺】的效果額外提高 {spike}%
rockarmor,,超重力場,,10,,gravityField,,,,24,,,,,,,,,,,,,300,,burst-gravity,,hit-earth,ground-domain-earth,,"{""pct"":300,""pctPer"":30,""stiff"":65,""stiffSec"":5}",10000000,1.5,施放岩甲術時同時扭曲 {m} 米內的重力場，使敵人僵化（移動、攻速與傷害 -{stiff}%，持續 {stiffSec} 秒）；岩甲護盾存在期間你的土系傷害額外 +{pct}%,施放岩甲術時同時扭曲 {m} 米內的重力場，使敵人僵化（移動、攻速與傷害 -{stiff}%，持續 {stiffSec} 秒）；岩甲護盾存在期間你的土系傷害額外 +{pct}%
mire,泥沼術,泥沼術,🟤,1,0|200,,12*12,20,,,,,,,,,,,,magic,earth,15,40,,,,,ground-mire-earth,,"{""sec"":4,""secPer"":0.4,""move"":30,""aspd"":50}",100000,1.5,在敵人腳下召喚一片 12×12 米的沼澤（射程 {castM} 米），沼澤中的敵人陷入緩速（移動速度 -{move}%、攻速 -{aspd}%），持續 {sec} 秒,在敵人腳下召喚一片 12×12 米的沼澤（射程 {castM} 米），沼澤中的敵人陷入緩速（移動速度 -{move}%、攻速 -{aspd}%），持續 {sec} 秒
mire,泥沼術,虛弱,🟤,2,0|250,,12*12,,,,,,,,,,,,,magic,earth,15,40,,,,,,,"{""pct"":15,""pctPer"":1.5}",200000,1.5,受泥沼緩速影響的敵人，受到的傷害提高 {pct}%,受泥沼緩速影響的敵人，受到的傷害提高 {pct}%
mire,泥沼術,毒沼術,🟤,3,0|300,,12*12,,,,,,,,,,,,,magic,earth,15,40,,,,,ground-mire-poison,,"{""dotPct"":25,""dotPctPer"":2.5,""dotGap"":0.5}",400000,1.5,沼澤持續放出毒氣：沼澤中的敵人每 {dotGap} 秒受到魔法攻擊 {dotPct}% 的毒性傷害,沼澤持續放出毒氣：沼澤中的敵人每 {dotGap} 秒受到魔法攻擊 {dotPct}% 的毒性傷害
mire,泥沼術,毒沼增生,🟤,4,0|350,,12*12,,,40,,,,,,,,,,magic,earth,15,40,,,,,,,"{""add"":1,""addPer"":0.1}",800000,1.5,沼澤結束時傳染給 {m} 米內較近的敵人，最多傳染 {add} 次（不足 1 次的部分以機率觸發）,沼澤結束時傳染給 {m} 米內較近的敵人，最多傳染 {add} 次（不足 1 次的部分以機率觸發）
mire,泥沼術,沼澤漫延,🟤,5,0|400,,12*12,,,,,,,,,,,,,magic,earth,15,40,,,,,,,"{""sec"":6,""pct"":40,""pctPer"":4,""growSec"":4}",1500000,1.5,沼澤持續時間提高至 {sec} 秒，且在 {growSec} 秒內逐步擴大，最大擴增 {pct}%,沼澤持續時間提高至 {sec} 秒，且在 {growSec} 秒內逐步擴大，最大擴增 {pct}%
mire,泥沼術,重力泥沼,🟤,6,0|450,,12*12,,,,,,,,,,,,,magic,earth,15,40,,,,,,,"{""move"":50,""aspd"":75,""pct"":20,""pctPer"":2}",3000000,1.5,緩速強化為移動速度 -{move}%、攻速 -{aspd}%，且受影響目標受到的傷害再提高 {pct}%（與第 2 階累加）,緩速強化為移動速度 -{move}%、攻速 -{aspd}%，且受影響目標受到的傷害再提高 {pct}%（與第 2 階累加）
mire,泥沼術,熔岩沼,🟤,7,0|500,,12*12,,,,,,,,,,,,,magic,earth,15,40,,,,,ground-mire-lava,,"{""sec"":8,""pct"":20,""pctPer"":2,""dotPct"":70,""dotPctPer"":7,""dotGap"":0.4}",5000000,1.5,沼澤轉變為岩漿：持續時間提高至 {sec} 秒、範圍再擴增 {pct}%（與第 5 階累加），其中的目標每 {dotGap} 秒額外受到魔法攻擊 {dotPct}% 的火焰傷害,沼澤轉變為岩漿：持續時間提高至 {sec} 秒、範圍再擴增 {pct}%（與第 5 階累加），其中的目標每 {dotGap} 秒額外受到魔法攻擊 {dotPct}% 的火焰傷害
mire,,惡疫魔沼,,8,,plagueMire,,,,,,0.35,,,,,,,,,,,300,,,,,,,"{""pct"":200,""pctPer"":20,""amp"":100,""ampPer"":10,""sec"":8}",10000000,1.5,沼澤範圍內的敵人染上【瘟疫】：每 {gap} 秒受到魔法攻擊 {pct}% 的毒性傷害，且受到的毒性傷害額外 +{amp}%；離開沼澤後仍持續 {sec} 秒,沼澤範圍內的敵人染上【瘟疫】：每 {gap} 秒受到魔法攻擊 {pct}% 的毒性傷害，且受到的毒性傷害額外 +{amp}%；離開沼澤後仍持續 {sec} 秒
mire,,深淵火獄,,9,,abyssInferno,,,,6,,2,,,,,,,,,,,300,,,,hit-fire,ground-tornado-fire,,"{""hits"":8,""pct"":100,""pctPer"":10,""sec"":8}",10000000,1.5,熔岩沼每 {gap} 秒對範圍內的敵人噴出 1 道火龍捲（半徑 {m} 米、{hits} 段、每段 {pct}% 火焰傷害），並將命中的敵人屬性改變為火屬性，持續 {sec} 秒,熔岩沼每 {gap} 秒對範圍內的敵人噴出 1 道火龍捲（半徑 {m} 米、{hits} 段、每段 {pct}% 火焰傷害），並將命中的敵人屬性改變為火屬性，持續 {sec} 秒
mire,,黃泉沼,,10,,netherMire,,,,,,,,,,,,,,,,,300,,,,,,,"{""hpPct"":30,""chance"":0.5,""chancePer"":0.05,""add"":0.5,""addPer"":0.05}",10000000,1.5,沼澤範圍內生命值 {hpPct}% 以下的敵人，每次受到傷害有 {chance}% 機率直接被斬殺，且該機率每次受傷再累加 {add}%,沼澤範圍內生命值 {hpPct}% 以下的敵人，每次受到傷害有 {chance}% 機率直接被斬殺，且該機率每次受傷再累加 {add}%
earthguard,大地守護,大地守護,🌍,1,0|250,,,,,,,,,,,,,,,magic,earth,0,0,,,,,,,"{""pct"":10,""pctPer"":1,""hp"":20,""hpPer"":2}",100000,1.5,主動型被動：自身傷害減免額外 +{pct}%、生命上限額外 +{hp}%（皆為乘算）,主動型被動：自身傷害減免額外 +{pct}%、生命上限額外 +{hp}%（皆為乘算）
