========================================================================
 Idle-RPG 100% 官方正版實機 AI 玩家 500 小時真實遊玩細節日誌 (.TXT Dump)
 生成時間: 2026/7/29 下午11:11:31
 時間加速倍率: 239,680x
 最終角色等級: Lv.11 (轉生 0)
 最終最高關卡: Stage 4
 最終面板 DPS: 0
========================================================================

[第1天 00:00:01] 🎮 [COMBAT] AI 玩家進入無限征途世界 -- 創建全新角色 Lv.1，穿著初始基礎裝備進入 Stage 1 關卡。 | 【頂欄資源: 💰金幣:50, 🧩裝備碎片:0, ✨魔塵:0, ✡️太古精華:0, 🌱魔神之種:0, 📜附魔書:0】
[第1天 00:00:05] ⚔️ [COMBAT] 揮刀發動第一波普通打怪戰鬥 -- 對 Stage 1 野外小怪進行持續打怪與經驗/金幣積攢。 | 【頂欄資源: 💰金幣:50, 🧩裝備碎片:0, ✨魔塵:0, ✡️太古精華:0, 🌱魔神之種:0, 📜附魔書:0】
[第1天 01:00:00] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 2 關) -- 角色 Lv.5 | 目前面板 DPS: 1,000 | 金幣總額: 589.43K | 【頂欄資源: 💰金幣:589.43K, 🧩裝備碎片:5,603, ✨魔塵:0, ✡️太古精華:3, 🌱魔神之種:0, 📜附魔書:0】
[第4天 05:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 9 關) -- 角色 Lv.7 | 目前面板 DPS: 1,000 | 金幣總額: 53.04M | 【頂欄資源: 💰金幣:53.04M, 🧩裝備碎片:418.53K, ✨魔塵:0, ✡️太古精華:32, 🌱魔神之種:0, 📜附魔書:3】
[第4天 06:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 10 關) -- 角色 Lv.7 | 目前面板 DPS: 1,000 | 金幣總額: 54.10M | 【頂欄資源: 💰金幣:54.10M, 🧩裝備碎片:423.95K, ✨魔塵:0, ✡️太古精華:33, 🌱魔神之種:0, 📜附魔書:3】
[第4天 07:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 2 關) -- 角色 Lv.7 | 目前面板 DPS: 1,000 | 金幣總額: 54.74M | 【頂欄資源: 💰金幣:54.74M, 🧩裝備碎片:429.38K, ✨魔塵:0, ✡️太古精華:33, 🌱魔神之種:0, 📜附魔書:3】
[第4天 08:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 4 關) -- 角色 Lv.7 | 目前面板 DPS: 1,000 | 金幣總額: 55.35M | 【頂欄資源: 💰金幣:55.35M, 🧩裝備碎片:434.82K, ✨魔塵:0, ✡️太古精華:33, 🌱魔神之種:0, 📜附魔書:3】
[第4天 09:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 5 關) -- 角色 Lv.7 | 目前面板 DPS: 1,000 | 金幣總額: 56.06M | 【頂欄資源: 💰金幣:56.06M, 🧩裝備碎片:440.25K, ✨魔塵:0, ✡️太古精華:33, 🌱魔神之種:0, 📜附魔書:3】
[第4天 10:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 1 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 56.66M | 【頂欄資源: 💰金幣:56.66M, 🧩裝備碎片:445.67K, ✨魔塵:0, ✡️太古精華:33, 🌱魔神之種:0, 📜附魔書:3】
[第4天 11:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 2 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 57.14M | 【頂欄資源: 💰金幣:57.14M, 🧩裝備碎片:451.10K, ✨魔塵:0, ✡️太古精華:33, 🌱魔神之種:0, 📜附魔書:3】
[第4天 12:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 4 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 57.77M | 【頂欄資源: 💰金幣:57.77M, 🧩裝備碎片:456.53K, ✨魔塵:0, ✡️太古精華:33, 🌱魔神之種:0, 📜附魔書:3】
[第4天 13:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 6 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 58.50M | 【頂欄資源: 💰金幣:58.50M, 🧩裝備碎片:461.96K, ✨魔塵:0, ✡️太古精華:33, 🌱魔神之種:0, 📜附魔書:3】
[第4天 14:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 7 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 59.32M | 【頂欄資源: 💰金幣:59.32M, 🧩裝備碎片:467.39K, ✨魔塵:0, ✡️太古精華:33, 🌱魔神之種:0, 📜附魔書:3】
[第4天 15:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 8 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 60.21M | 【頂欄資源: 💰金幣:60.21M, 🧩裝備碎片:472.82K, ✨魔塵:0, ✡️太古精華:33, 🌱魔神之種:0, 📜附魔書:3】
[第4天 16:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 9 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 61.16M | 【頂欄資源: 💰金幣:61.16M, 🧩裝備碎片:478.25K, ✨魔塵:0, ✡️太古精華:33, 🌱魔神之種:0, 📜附魔書:4】
[第4天 17:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 10 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 62.18M | 【頂欄資源: 💰金幣:62.18M, 🧩裝備碎片:483.70K, ✨魔塵:0, ✡️太古精華:34, 🌱魔神之種:0, 📜附魔書:4】
[第4天 18:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 2 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 62.89M | 【頂欄資源: 💰金幣:62.89M, 🧩裝備碎片:489.15K, ✨魔塵:0, ✡️太古精華:35, 🌱魔神之種:0, 📜附魔書:4】
[第4天 19:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 4 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 63.47M | 【頂欄資源: 💰金幣:63.47M, 🧩裝備碎片:494.57K, ✨魔塵:0, ✡️太古精華:35, 🌱魔神之種:0, 📜附魔書:4】
[第4天 20:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 6 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 64.21M | 【頂欄資源: 💰金幣:64.21M, 🧩裝備碎片:499.99K, ✨魔塵:0, ✡️太古精華:35, 🌱魔神之種:0, 📜附魔書:4】
[第4天 21:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 7 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 65.03M | 【頂欄資源: 💰金幣:65.03M, 🧩裝備碎片:505.42K, ✨魔塵:0, ✡️太古精華:36, 🌱魔神之種:0, 📜附魔書:4】
[第4天 22:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 8 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 65.90M | 【頂欄資源: 💰金幣:65.90M, 🧩裝備碎片:510.84K, ✨魔塵:0, ✡️太古精華:37, 🌱魔神之種:0, 📜附魔書:4】
[第4天 23:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 8 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 66.84M | 【頂欄資源: 💰金幣:66.84M, 🧩裝備碎片:516.26K, ✨魔塵:0, ✡️太古精華:37, 🌱魔神之種:0, 📜附魔書:4】
[第5天 00:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 2 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 67.49M | 【頂欄資源: 💰金幣:67.49M, 🧩裝備碎片:521.70K, ✨魔塵:0, ✡️太古精華:37, 🌱魔神之種:0, 📜附魔書:4】
[第5天 01:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 4 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 68.04M | 【頂欄資源: 💰金幣:68.04M, 🧩裝備碎片:527.11K, ✨魔塵:0, ✡️太古精華:37, 🌱魔神之種:0, 📜附魔書:4】
[第5天 02:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 5 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 68.73M | 【頂欄資源: 💰金幣:68.73M, 🧩裝備碎片:532.54K, ✨魔塵:0, ✡️太古精華:37, 🌱魔神之種:0, 📜附魔書:4】
[第5天 03:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 6 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 69.51M | 【頂欄資源: 💰金幣:69.51M, 🧩裝備碎片:537.98K, ✨魔塵:0, ✡️太古精華:37, 🌱魔神之種:0, 📜附魔書:4】
[第5天 04:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 7 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 70.37M | 【頂欄資源: 💰金幣:70.37M, 🧩裝備碎片:543.41K, ✨魔塵:0, ✡️太古精華:37, 🌱魔神之種:0, 📜附魔書:4】
[第5天 05:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 1 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 71.23M | 【頂欄資源: 💰金幣:71.23M, 🧩裝備碎片:548.83K, ✨魔塵:0, ✡️太古精華:37, 🌱魔神之種:0, 📜附魔書:4】
[第5天 06:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 3 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 71.71M | 【頂欄資源: 💰金幣:71.71M, 🧩裝備碎片:554.26K, ✨魔塵:0, ✡️太古精華:37, 🌱魔神之種:0, 📜附魔書:4】
[第5天 07:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 4 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 72.33M | 【頂欄資源: 💰金幣:72.33M, 🧩裝備碎片:559.68K, ✨魔塵:0, ✡️太古精華:37, 🌱魔神之種:0, 📜附魔書:4】
[第5天 08:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 6 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 73.03M | 【頂欄資源: 💰金幣:73.03M, 🧩裝備碎片:565.11K, ✨魔塵:0, ✡️太古精華:37, 🌱魔神之種:0, 📜附魔書:4】
[第5天 09:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 1 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 73.59M | 【頂欄資源: 💰金幣:73.59M, 🧩裝備碎片:570.52K, ✨魔塵:0, ✡️太古精華:37, 🌱魔神之種:0, 📜附魔書:4】
[第5天 10:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 3 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 74.12M | 【頂欄資源: 💰金幣:74.12M, 🧩裝備碎片:575.98K, ✨魔塵:0, ✡️太古精華:38, 🌱魔神之種:0, 📜附魔書:4】
[第5天 11:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 4 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 74.73M | 【頂欄資源: 💰金幣:74.73M, 🧩裝備碎片:581.41K, ✨魔塵:0, ✡️太古精華:38, 🌱魔神之種:0, 📜附魔書:4】
[第5天 12:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 6 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 75.44M | 【頂欄資源: 💰金幣:75.44M, 🧩裝備碎片:586.83K, ✨魔塵:0, ✡️太古精華:38, 🌱魔神之種:0, 📜附魔書:4】
[第5天 13:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 7 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 76.25M | 【頂欄資源: 💰金幣:76.25M, 🧩裝備碎片:592.28K, ✨魔塵:0, ✡️太古精華:38, 🌱魔神之種:0, 📜附魔書:4】
[第5天 14:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 9 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 77.16M | 【頂欄資源: 💰金幣:77.16M, 🧩裝備碎片:597.70K, ✨魔塵:0, ✡️太古精華:38, 🌱魔神之種:0, 📜附魔書:4】
[第5天 15:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 9 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 78.16M | 【頂欄資源: 💰金幣:78.16M, 🧩裝備碎片:603.11K, ✨魔塵:0, ✡️太古精華:38, 🌱魔神之種:0, 📜附魔書:4】
[第5天 16:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 3 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 78.73M | 【頂欄資源: 💰金幣:78.73M, 🧩裝備碎片:608.55K, ✨魔塵:0, ✡️太古精華:38, 🌱魔神之種:0, 📜附魔書:4】
[第5天 17:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 4 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 79.34M | 【頂欄資源: 💰金幣:79.34M, 🧩裝備碎片:614.00K, ✨魔塵:0, ✡️太古精華:38, 🌱魔神之種:0, 📜附魔書:4】
[第5天 18:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 7 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 80.11M | 【頂欄資源: 💰金幣:80.11M, 🧩裝備碎片:619.42K, ✨魔塵:0, ✡️太古精華:38, 🌱魔神之種:0, 📜附魔書:4】
[第5天 19:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 8 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 81.04M | 【頂欄資源: 💰金幣:81.04M, 🧩裝備碎片:624.86K, ✨魔塵:0, ✡️太古精華:38, 🌱魔神之種:0, 📜附魔書:4】
[第5天 20:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 10 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 82.07M | 【頂欄資源: 💰金幣:82.07M, 🧩裝備碎片:630.30K, ✨魔塵:0, ✡️太古精華:38, 🌱魔神之種:0, 📜附魔書:4】
[第5天 21:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 1 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 82.77M | 【頂欄資源: 💰金幣:82.77M, 🧩裝備碎片:635.73K, ✨魔塵:0, ✡️太古精華:38, 🌱魔神之種:0, 📜附魔書:4】
[第5天 22:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 4 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 83.31M | 【頂欄資源: 💰金幣:83.31M, 🧩裝備碎片:641.16K, ✨魔塵:0, ✡️太古精華:38, 🌱魔神之種:0, 📜附魔書:4】
[第5天 23:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 6 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 84.06M | 【頂欄資源: 💰金幣:84.06M, 🧩裝備碎片:646.62K, ✨魔塵:0, ✡️太古精華:38, 🌱魔神之種:0, 📜附魔書:4】
[第6天 00:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 8 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 84.91M | 【頂欄資源: 💰金幣:84.91M, 🧩裝備碎片:652.08K, ✨魔塵:0, ✡️太古精華:40, 🌱魔神之種:0, 📜附魔書:4】
[第6天 01:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 9 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 85.85M | 【頂欄資源: 💰金幣:85.85M, 🧩裝備碎片:657.53K, ✨魔塵:0, ✡️太古精華:40, 🌱魔神之種:0, 📜附魔書:4】
[第6天 02:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 2 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 86.36M | 【頂欄資源: 💰金幣:86.36M, 🧩裝備碎片:662.95K, ✨魔塵:0, ✡️太古精華:40, 🌱魔神之種:0, 📜附魔書:4】
[第6天 03:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 4 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 86.96M | 【頂欄資源: 💰金幣:86.96M, 🧩裝備碎片:668.38K, ✨魔塵:0, ✡️太古精華:41, 🌱魔神之種:0, 📜附魔書:4】
[第6天 04:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 5 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 87.66M | 【頂欄資源: 💰金幣:87.66M, 🧩裝備碎片:673.82K, ✨魔塵:0, ✡️太古精華:41, 🌱魔神之種:0, 📜附魔書:4】
[第6天 05:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 8 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 88.50M | 【頂欄資源: 💰金幣:88.50M, 🧩裝備碎片:679.25K, ✨魔塵:0, ✡️太古精華:41, 🌱魔神之種:0, 📜附魔書:4】
[第6天 06:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 1 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 89.42M | 【頂欄資源: 💰金幣:89.42M, 🧩裝備碎片:684.68K, ✨魔塵:0, ✡️太古精華:41, 🌱魔神之種:0, 📜附魔書:4】
[第6天 07:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 3 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 89.90M | 【頂欄資源: 💰金幣:89.90M, 🧩裝備碎片:690.12K, ✨魔塵:0, ✡️太古精華:41, 🌱魔神之種:0, 📜附魔書:4】
[第6天 08:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 5 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 90.54M | 【頂欄資源: 💰金幣:90.54M, 🧩裝備碎片:695.55K, ✨魔塵:0, ✡️太古精華:41, 🌱魔神之種:0, 📜附魔書:4】
[第6天 09:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 6 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 91.26M | 【頂欄資源: 💰金幣:91.26M, 🧩裝備碎片:700.99K, ✨魔塵:0, ✡️太古精華:41, 🌱魔神之種:0, 📜附魔書:4】
[第6天 10:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 1 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 91.83M | 【頂欄資源: 💰金幣:91.83M, 🧩裝備碎片:706.40K, ✨魔塵:0, ✡️太古精華:41, 🌱魔神之種:0, 📜附魔書:4】
[第6天 11:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 4 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 92.38M | 【頂欄資源: 💰金幣:92.38M, 🧩裝備碎片:711.83K, ✨魔塵:0, ✡️太古精華:41, 🌱魔神之種:0, 📜附魔書:4】
[第6天 12:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 5 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 93.07M | 【頂欄資源: 💰金幣:93.07M, 🧩裝備碎片:717.26K, ✨魔塵:0, ✡️太古精華:41, 🌱魔神之種:0, 📜附魔書:4】
[第6天 13:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 6 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 93.85M | 【頂欄資源: 💰金幣:93.85M, 🧩裝備碎片:722.68K, ✨魔塵:0, ✡️太古精華:41, 🌱魔神之種:0, 📜附魔書:4】
[第6天 14:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 1 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 94.63M | 【頂欄資源: 💰金幣:94.63M, 🧩裝備碎片:728.11K, ✨魔塵:0, ✡️太古精華:41, 🌱魔神之種:0, 📜附魔書:4】
[第6天 15:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 3 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 95.12M | 【頂欄資源: 💰金幣:95.12M, 🧩裝備碎片:733.54K, ✨魔塵:0, ✡️太古精華:41, 🌱魔神之種:0, 📜附魔書:4】
[第6天 16:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 4 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 95.72M | 【頂欄資源: 💰金幣:95.72M, 🧩裝備碎片:738.97K, ✨魔塵:0, ✡️太古精華:42, 🌱魔神之種:0, 📜附魔書:4】
[第6天 17:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 5 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 96.39M | 【頂欄資源: 💰金幣:96.39M, 🧩裝備碎片:744.42K, ✨魔塵:0, ✡️太古精華:43, 🌱魔神之種:0, 📜附魔書:4】
[第6天 18:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 6 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 97.15M | 【頂欄資源: 💰金幣:97.15M, 🧩裝備碎片:749.85K, ✨魔塵:0, ✡️太古精華:43, 🌱魔神之種:0, 📜附魔書:4】
[第6天 19:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 3 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 97.72M | 【頂欄資源: 💰金幣:97.72M, 🧩裝備碎片:755.27K, ✨魔塵:0, ✡️太古精華:43, 🌱魔神之種:0, 📜附魔書:4】
[第6天 20:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 4 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 98.35M | 【頂欄資源: 💰金幣:98.35M, 🧩裝備碎片:760.73K, ✨魔塵:0, ✡️太古精華:45, 🌱魔神之種:0, 📜附魔書:4】
[第6天 21:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 6 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 99.06M | 【頂欄資源: 💰金幣:99.06M, 🧩裝備碎片:766.17K, ✨魔塵:0, ✡️太古精華:45, 🌱魔神之種:0, 📜附魔書:4】
[第6天 22:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 2 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 99.52M | 【頂欄資源: 💰金幣:99.52M, 🧩裝備碎片:771.61K, ✨魔塵:0, ✡️太古精華:45, 🌱魔神之種:0, 📜附魔書:4】
[第6天 23:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 3 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 100.06M | 【頂欄資源: 💰金幣:100.06M, 🧩裝備碎片:777.06K, ✨魔塵:0, ✡️太古精華:45, 🌱魔神之種:0, 📜附魔書:4】
[第7天 00:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 5 關) -- 角色 Lv.8 | 目前面板 DPS: 1,000 | 金幣總額: 100.72M | 【頂欄資源: 💰金幣:100.72M, 🧩裝備碎片:782.49K, ✨魔塵:0, ✡️太古精華:45, 🌱魔神之種:0, 📜附魔書:4】
[第7天 01:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 6 關) -- 角色 Lv.9 | 目前面板 DPS: 1,000 | 金幣總額: 101.49M | 【頂欄資源: 💰金幣:101.49M, 🧩裝備碎片:787.90K, ✨魔塵:0, ✡️太古精華:45, 🌱魔神之種:0, 📜附魔書:4】
[第7天 02:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 1 關) -- 角色 Lv.9 | 目前面板 DPS: 1,000 | 金幣總額: 102.24M | 【頂欄資源: 💰金幣:102.24M, 🧩裝備碎片:793.34K, ✨魔塵:0, ✡️太古精華:46, 🌱魔神之種:0, 📜附魔書:4】
[第7天 03:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 4 關) -- 角色 Lv.9 | 目前面板 DPS: 1,000 | 金幣總額: 102.80M | 【頂欄資源: 💰金幣:102.80M, 🧩裝備碎片:798.76K, ✨魔塵:0, ✡️太古精華:46, 🌱魔神之種:0, 📜附魔書:4】
[第7天 04:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 5 關) -- 角色 Lv.9 | 目前面板 DPS: 1,000 | 金幣總額: 103.51M | 【頂欄資源: 💰金幣:103.51M, 🧩裝備碎片:804.19K, ✨魔塵:0, ✡️太古精華:46, 🌱魔神之種:0, 📜附魔書:4】
[第7天 05:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 6 關) -- 角色 Lv.9 | 目前面板 DPS: 1,000 | 金幣總額: 104.26M | 【頂欄資源: 💰金幣:104.26M, 🧩裝備碎片:809.61K, ✨魔塵:0, ✡️太古精華:46, 🌱魔神之種:0, 📜附魔書:4】
[第7天 06:02:59] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 7 關) -- 角色 Lv.9 | 目前面板 DPS: 1,000 | 金幣總額: 105.06M | 【頂欄資源: 💰金幣:105.06M, 🧩裝備碎片:815.06K, ✨魔塵:0, ✡️太古精華:47, 🌱魔神之種:0, 📜附魔書:4】
[第7天 07:00:00] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 8 關) -- 角色 Lv.9 | 目前面板 DPS: 1,000 | 金幣總額: 105.89M | 【頂欄資源: 💰金幣:105.89M, 🧩裝備碎片:820.24K, ✨魔塵:0, ✡️太古精華:47, 🌱魔神之種:0, 📜附魔書:4】
[第7天 08:00:00] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 9 關) -- 角色 Lv.9 | 目前面板 DPS: 1,000 | 金幣總額: 106.83M | 【頂欄資源: 💰金幣:106.83M, 🧩裝備碎片:825.67K, ✨魔塵:0, ✡️太古精華:49, 🌱魔神之種:0, 📜附魔書:4】
[第7天 09:00:00] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 10 關) -- 角色 Lv.9 | 目前面板 DPS: 1,000 | 金幣總額: 107.86M | 【頂欄資源: 💰金幣:107.86M, 🧩裝備碎片:831.10K, ✨魔塵:0, ✡️太古精華:49, 🌱魔神之種:0, 📜附魔書:5】
[第7天 10:00:00] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 10 關) -- 角色 Lv.9 | 目前面板 DPS: 1,000 | 金幣總額: 108.94M | 【頂欄資源: 💰金幣:108.94M, 🧩裝備碎片:836.53K, ✨魔塵:0, ✡️太古精華:49, 🌱魔神之種:0, 📜附魔書:5】
[第7天 11:00:00] ⚔️ [COMBAT] 實機戰鬥進行中 (Stage 11 關) -- 角色 Lv.9 | 目前面板 DPS: 1,000 | 金幣總額: 110.09M | 【頂欄資源: 💰金幣:110.09M, 🧩裝備碎片:841.95K, ✨魔塵:0, ✡️太古精華:50, 🌱魔神之種:0, 📜附魔書:5】
